date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:00:53	1/1	---M--	200	added ('OK')	text/plain	etag:%2267f41309-1%22	https://use.typekit.net/robots.txt		(from https://www.squaremoon.ie/)
20:00:54	548/548	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Apr%202025%2019:00:54%20GMT	https://p.typekit.net/robots.txt		(from https://www.squaremoon.ie/)
20:00:54	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Apr%202025%2019:00:55%20GMT	https://fonts.gstatic.com/robots.txt		(from https://www.squaremoon.ie/)
20:00:55	51/51	---MCZ	200	added ('OK')	text/plain	date:Sun,%2013%20Apr%202025%2019:00:55%20GMT	https://fonts.googleapis.com/robots.txt		(from https://www.squaremoon.ie/)
20:00:56	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Apr%202025%2019:00:56%20GMT	https://www.googletagmanager.com/robots.txt		(from https://www.squaremoon.ie/)
20:00:56	1054/1054	---M-Z	200	added ('OK')	text/plain	etag:%22d50-6253234576840-gzip%22	https://www.w3.org/robots.txt		(from https://www.squaremoon.ie/)
20:00:57	43154/43154	---M-Z	200	added ('OK')	text/javascript	etag:%22b00f21b4766244a1db52b81ec6a7ee98%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-0935684ff3ab82f2-min.en-US.js	C:/My%20Web%20Sites/squaremoon/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-0935684ff3ab82f2-min.en-US.js	(from https://www.squaremoon.ie/contact)
20:00:58	89963/89963	---M-Z	200	added ('OK')	text/javascript	etag:%223f1d30c13fe1749feb4eb49fac19193d%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-34e9e1bd5ce2a9d7-min.en-US.js	C:/My%20Web%20Sites/squaremoon/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-34e9e1bd5ce2a9d7-min.en-US.js	(from https://www.squaremoon.ie/contact)
20:00:58	206039/206039	---M--	200	added ('OK')	image/jpeg	etag:CNffrvriv4gDEAE=	https://images.squarespace-cdn.com/content/v1/5ca59b6651f4d411d495512a/c65153e3-1164-4516-a4d4-003274b5d294/pexels-eva-bronzini-7629493.jpg	C:/My%20Web%20Sites/squaremoon/images.squarespace-cdn.com/content/v1/5ca59b6651f4d411d495512a/c65153e3-1164-4516-a4d4-003274b5d294/pexels-eva-bronzini-7629493.jpg	(from https://www.squaremoon.ie/contact)
20:00:59	1284044/1284044	---M--	200	added ('OK')	image/jpeg	etag:CKW/rLqRqYgDEAE=	https://images.squarespace-cdn.com/content/v1/5ca59b6651f4d411d495512a/c2042f85-1381-440b-8fce-8d1bf30de864/pexels-fauxels-3183165.jpg	C:/My%20Web%20Sites/squaremoon/images.squarespace-cdn.com/content/v1/5ca59b6651f4d411d495512a/c2042f85-1381-440b-8fce-8d1bf30de864/pexels-fauxels-3183165.jpg	(from https://www.squaremoon.ie/contact)
20:01:00	2575/2575	---MCZ	200	added ('OK')	text/plain	etag:W/%2267d96bbd-1ae7e%22	https://www.linkedin.com/robots.txt		(from https://www.squaremoon.ie/)
